imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0324127,Suspect Zero,2004,2005-03-25,"Crime, Horror, Mystery",99,"UK, Germany, USA",English,E. Elias Merhige,"Zak Penn, Zak Penn",Paramount Pictures,5.8,18751,$ 27000000,$ 8725813,$ 11416075,37.0,145.0,108.0
tt0324133,Swimming Pool,2003,2003-10-31,"Crime, Drama, Mystery",102,"France, UK","English, French",François Ozon,"François Ozon, Emmanuèle Bernheim",Fidélité Productions,6.7,41784,,$ 10130108,$ 22441497,70.0,302.0,173.0
tt0324158,All'improvviso,2002,2003-06-19,"Comedy, Drama",92,"Argentina, Netherlands",Spanish,Diego Lerman,"César Aira, Diego Lerman",Hubert Bals Fund,6.4,821,,$ 44806,$ 153985,63.0,12.0,29.0
tt0324175,Te busco,2002,2002-12-20,"Comedy, Drama, Romance",84,Colombia,Spanish,Ricardo Coral,Dago García,Dago García Producciones,6.1,157,,,,,1.0,1.0
tt0324197,Il tempo dei lupi,2003,2004-06-04,"Drama, Horror",114,"France, Austria, Germany","French, Romanian",Michael Haneke,Michael Haneke,Arte France Cinéma,6.6,9625,,$ 61439,$ 499149,71.0,74.0,103.0
tt0324216,Non aprite quella porta,2003,2003-11-28,Horror,98,USA,English,Marcus Nispel,"Kim Henkel, Tobe Hooper",New Line Cinema,6.2,128106,$ 9500000,$ 80571655,$ 107362708,38.0,748.0,241.0
tt0324242,Three,2002,2002-07-12,"Horror, Mystery",140,"Hong Kong, South Korea, Thailand","Korean, English, Mandarin, Thai, Cantonese","Peter Ho-Sun Chan, Jee-woon Kim","Teddy Chan, Matt Chow",Applause Pictures,6.2,3317,,,$ 1691811,,25.0,40.0
tt0324296,Totsunyûseyo! Asama sansô jiken,2002,2002-05-11,"Action, Crime, Drama",130,Japan,Japanese,Masato Harada,"Masato Harada, Atsuyuki Sassa",Asmik Ace Entertainment,6.2,157,,,$ 6394240,,1.0,3.0
tt0324518,Wai See Lee: Lam huet yan,2002,2002-03-28,"Action, Romance, Sci-Fi",88,Hong Kong,Cantonese,Andrew Lau,"Kuang Ni, Jing Wong",China Star Entertainment,4.0,362,,,$ 1158912,,6.0,5.0
tt0324554,Appuntamento a Wicker Park,2004,2004-09-03,"Drama, Mystery, Romance",114,USA,"English, Chinese",Paul McGuigan,"Gilles Mimouni, Brandon Boyce",Metro-Goldwyn-Mayer (MGM),7.0,52235,$ 30000000,$ 13001257,$ 21741598,40.0,309.0,102.0
tt0324557,The Wild Guys,2004,2004-05-13,"Adventure, Comedy",92,Canada,English,William Gereghty,"Andrew Wreggitt, Rebecca Shaw",MVP Entertainment Inc.,4.9,103,,,,,7.0,1.0
tt0324572,Winnie the Pooh: A Very Merry Pooh Year,2002,2002-11-12,"Animation, Comedy, Drama",65,USA,English,"Gary Katona, Ed Wexler","Brian Hohlfeld, Ted Henning",Disney Television Animation,6.8,1896,,,,,5.0,8.0
